ID,NAME,
4873490,失恋33天,
26387939,摔跤吧！爸爸,
26363254,战狼2,
26683290,你的名字。,
1308807,哈尔的移动城堡,
3287562,神偷奶爸,
1291583,天空之城,
24751756,老炮儿,
19944106,美人鱼,
10574468,北京遇上西雅图,
1291999,重庆森林,
1306249,唐伯虎点秋香,
25805741,后会无期,
11026735,超能陆战队,
4268598,告白,
1291828,天堂电影院,
11529526,中国合伙人,
5308265,西游降魔篇,
4305436,志明与春娇,
26277313,西游记之大圣归来,
25964071,夏洛特烦恼,
1308817,两小无猜,
1862151,疯狂的石头,
20495023,寻梦环游记,
25986180,釜山行,
2149806,入殓师,
1302425,喜剧之王,
6973376,致我们终将逝去的青春,
1783457,功夫熊猫,
24405378,王牌特工：特工学院,
25815034,湄公河行动,
1866479,复仇者联盟,
3792799,岁月神偷,
3649049,金陵十三钗,
3072086,和莎莫的500天,
3077412,寻龙诀,
4237879,人在囧途,
1292365,活着,
1291578,冰川时代,
3005875,2012,
2043546,秒速5厘米,
1316510,射雕英雄传之东成西就,
1291875,阳光灿烂的日子,
1291543,功夫,
1308575,蓝色大门,
1787291,被嫌弃的松子的一生,
1292286,我的野蛮女友,
3395373,蝙蝠侠：黑暗骑士崛起,
1292328,东邪西毒,
2353023,驯龙高手,
4191644,一天,
1297447,倩女幽魂,
3824672,听说,
3011235,哈利·波特与死亡圣器(下),
25921812,驴得水,
3821067,一代宗师,
26580232,看不见的客人,
3313801,非诚勿扰,
3734112,风声,
6386345,春娇与志明,
4917726,阳光姐妹淘,
26325320,血战钢锯岭,
3233635,功夫熊猫2,
2135981,画皮,
2124724,不能说的秘密,
26862259,乘风破浪,
1292528,猜火车,
1291557,花样年华,
1292679,春光乍泄,
27038183,羞羞的铁拳,
3530403,云图,
26366465,我的少女时代,
1297359,幽灵公主,
3804891,无人区,
3068206,碟中谍4,
1291550,天下无贼,
1291579,怪兽电力公司,
26862829,芳华,
1291858,鬼子来了,
1304073,假如爱有天意,
6517421,惊天魔盗团,
4271894,非诚勿扰2,
3274505,猩球崛起,
25827935,七月与安生,
25798222,亲爱的,
27024903,天才枪手,
25723907,捉妖记,
5323968,环太平洋,
25717233,心花路放,
1303394,青蛇,
1900841,窃听风暴,
3072124,玛丽和马克思,
24404677,超体,
4724739,单身男女,
20376577,小时代,
7065154,银河护卫队,
2365260,爱在暹罗,
3006772,第九区,
2146991,变形金刚2,
4746257,明日边缘,
26311973,唐人街探案,
24719063,烈日灼心,
3025375,奇异博士,
4202302,借东西的小人阿莉埃蒂,
1859036,宝贝计划,
4915857,神偷奶爸2,
1293318,萤火虫之墓,
4286017,速度与激情5,
